vulnerabilityCode,cveId,title,description,cvssScore,category,remediation,exploitAvailable,publishedAt,status,createdByCode
VULN-001,,Weak Password Policy,Password policy allows weak or easily guessable credentials.,5.3,AUTHENTICATION,"Enforce minimum password complexity, length and password reuse restrictions.",FALSE,2025-01-15,ACTIVE,USR-001
VULN-002,,Default Administrative Credentials,A system is configured with default administrative credentials.,9.1,AUTHENTICATION,Replace all default credentials and enforce unique strong passwords.,TRUE,2025-01-21,ACTIVE,USR-002
VULN-003,,Missing Multi-Factor Authentication,Privileged accounts can authenticate using only a password.,7.5,AUTHENTICATION,Enable multi-factor authentication for privileged and sensitive accounts.,FALSE,2025-02-03,ACTIVE,USR-003
VULN-004,,Excessive Login Attempts,The authentication service does not sufficiently restrict repeated login attempts.,6.5,AUTHENTICATION,Implement rate limiting and temporary account lockout controls.,FALSE,2025-02-12,ACTIVE,USR-004
VULN-005,,Insecure Session Timeout,User sessions remain active for an excessive period of inactivity.,3.8,AUTHENTICATION,Configure appropriate idle and absolute session expiration times.,FALSE,2025-02-20,ACTIVE,USR-005
VULN-006,,Broken Access Control,Users can access resources outside their assigned authorization level.,9.3,ACCESS_CONTROL,Enforce authorization checks on every protected server-side resource.,TRUE,2025-03-01,ACTIVE,USR-006
VULN-007,,Excessive User Privileges,User accounts have more privileges than required for their responsibilities.,7.1,ACCESS_CONTROL,Apply least privilege and periodically review account permissions.,FALSE,2025-03-08,ACTIVE,USR-007
VULN-008,,Missing Role Validation,Application endpoints do not consistently verify user roles.,8.2,ACCESS_CONTROL,Add server-side role validation to all privileged operations.,TRUE,2025-03-17,ACTIVE,USR-008
VULN-009,,Insecure Direct Object Reference,Resource identifiers can be manipulated to access unauthorized information.,8.1,ACCESS_CONTROL,Verify resource ownership and authorization on every request.,TRUE,2025-03-25,ACTIVE,USR-009
VULN-010,,Unrestricted Administrative Interface,Administrative functionality is exposed without sufficient network restrictions.,7.8,ACCESS_CONTROL,Restrict administrative interfaces to trusted networks and authorized users.,FALSE,2025-04-02,ACTIVE,USR-001
VULN-011,,SQL Injection,User-controlled input can alter database queries.,9.8,DATABASE,Use parameterized queries and validate all untrusted input.,TRUE,2025-04-10,ACTIVE,USR-002
VULN-012,,Database Account Overprivileged,Application database accounts have unnecessary administrative permissions.,8.0,DATABASE,Grant only the minimum database permissions required by the application.,FALSE,2025-04-18,ACTIVE,USR-003
VULN-013,,Database Accessible from Public Network,A database service is directly reachable from untrusted networks.,9.0,DATABASE,Restrict database access using private networking and firewall rules.,TRUE,2025-04-27,ACTIVE,USR-004
VULN-014,,Unencrypted Database Connection,Database traffic is transmitted without transport encryption.,7.4,DATABASE,Require TLS for all database client and server connections.,FALSE,2025-05-04,ACTIVE,USR-005
VULN-015,,Database Backup Exposed,Database backup files are accessible without sufficient protection.,8.6,DATABASE,Encrypt backups and restrict storage access using least privilege.,FALSE,2025-05-12,ACTIVE,USR-006
VULN-016,,Cross-Site Scripting,User-controlled content can execute scripts in another user's browser.,7.2,WEB,Encode output and sanitize untrusted content before rendering it.,TRUE,2025-05-20,ACTIVE,USR-007
