findingCode,assetCode,vulnerabilityCode,assignedToCode,createdByCode,status,detectedAt,closedAt,closureNote
FND-001,AST-008,VULN-012,USR-006,USR-005,OPEN,2026-01-08,,
FND-002,AST-015,VULN-023,USR-002,USR-008,OPEN,2026-01-11,,
FND-003,AST-023,VULN-034,USR-007,USR-002,OPEN,2026-01-14,,
FND-004,AST-033,VULN-045,USR-003,USR-005,OPEN,2026-01-17,,
FND-005,AST-040,VULN-057,USR-008,USR-008,OPEN,2026-01-20,,
FND-006,AST-048,VULN-068,USR-004,USR-002,OPEN,2026-01-23,,
FND-007,AST-057,VULN-079,,USR-005,OPEN,2026-01-26,,
FND-008,AST-064,VULN-091,USR-005,USR-008,OPEN,2026-01-29,,
FND-009,AST-073,VULN-102,USR-001,USR-002,OPEN,2026-02-01,,
FND-010,AST-080,VULN-114,USR-006,USR-005,OPEN,2026-02-04,,
FND-011,AST-089,VULN-006,USR-002,USR-008,OPEN,2026-02-07,,
FND-012,AST-097,VULN-017,USR-007,USR-002,OPEN,2026-02-10,,
FND-013,AST-105,VULN-028,USR-003,USR-005,OPEN,2026-02-13,,
FND-014,AST-112,VULN-039,,USR-008,OPEN,2026-02-16,,
FND-015,AST-003,VULN-051,USR-004,USR-002,OPEN,2026-02-19,,
FND-016,AST-010,VULN-062,USR-009,USR-005,OPEN,2026-02-22,,
FND-017,AST-017,VULN-073,USR-005,USR-008,OPEN,2026-02-25,,
FND-018,AST-027,VULN-085,USR-001,USR-002,OPEN,2026-02-28,,
FND-019,AST-035,VULN-096,USR-006,USR-005,OPEN,2026-03-03,,
FND-020,AST-042,VULN-108,USR-002,USR-008,OPEN,2026-03-06,,
FND-021,AST-050,VULN-120,,USR-002,OPEN,2026-03-09,,
FND-022,AST-059,VULN-011,USR-003,USR-005,OPEN,2026-03-12,,
FND-023,AST-066,VULN-022,USR-008,USR-008,OPEN,2026-03-15,,
FND-024,AST-075,VULN-033,USR-004,USR-002,OPEN,2026-03-18,,
FND-025,AST-082,VULN-045,USR-009,USR-005,OPEN,2026-03-21,,
FND-026,AST-091,VULN-056,USR-005,USR-008,OPEN,2026-03-24,,
FND-027,AST-099,VULN-067,USR-001,USR-002,OPEN,2026-03-27,,
FND-028,AST-107,VULN-078,,USR-005,OPEN,2026-03-30,,
FND-029,AST-116,VULN-090,USR-002,USR-008,OPEN,2026-04-02,,
FND-030,AST-005,VULN-102,USR-007,USR-002,OPEN,2026-04-05,,
FND-031,AST-012,VULN-113,USR-003,USR-005,OPEN,2026-04-08,,
FND-032,AST-019,VULN-005,USR-008,USR-008,OPEN,2026-04-11,,
FND-033,AST-030,VULN-016,USR-004,USR-002,OPEN,2026-04-14,,
FND-034,AST-037,VULN-027,USR-009,USR-005,OPEN,2026-04-17,,
FND-035,AST-044,VULN-039,,USR-008,OPEN,2026-04-20,,
FND-036,AST-052,VULN-050,USR-001,USR-002,OPEN,2026-04-23,,
FND-037,AST-061,VULN-061,USR-006,USR-005,OPEN,2026-04-26,,
FND-038,AST-068,VULN-072,USR-002,USR-008,OPEN,2026-04-29,,
FND-039,AST-077,VULN-084,USR-007,USR-002,OPEN,2026-05-02,,
FND-040,AST-086,VULN-096,USR-003,USR-005,OPEN,2026-05-05,,
FND-041,AST-093,VULN-107,USR-008,USR-008,OPEN,2026-05-08,,
FND-042,AST-102,VULN-119,,USR-002,OPEN,2026-05-11,,
FND-043,AST-109,VULN-010,USR-009,USR-005,OPEN,2026-05-14,,
FND-044,AST-118,VULN-021,USR-005,USR-008,OPEN,2026-05-17,,
FND-045,AST-007,VULN-033,USR-001,USR-002,OPEN,2026-05-20,,
FND-046,AST-014,VULN-044,USR-006,USR-005,OPEN,2026-05-23,,
FND-047,AST-021,VULN-055,USR-002,USR-008,OPEN,2026-05-26,,
FND-048,AST-032,VULN-066,USR-007,USR-002,OPEN,2026-05-29,,
FND-049,AST-039,VULN-077,,USR-005,OPEN,2026-06-01,,
FND-050,AST-046,VULN-090,USR-008,USR-008,OPEN,2026-06-04,,
FND-051,AST-001,VULN-002,USR-002,USR-006,IN_PROGRESS,2026-07-22,,
FND-052,AST-002,VULN-007,USR-003,USR-007,IN_PROGRESS,2026-07-23,,
