assetCode,name,type,hostname,ipAddress,operatingSystem,environment,criticality,department,status,description,createdByCode
AST-001,Production Web Server 01,SERVER,srv-web-01,10.20.1.11,Ubuntu Server 24.04,PRODUCTION,CRITICAL,IT,ACTIVE,Primary production web server.,USR-001
AST-002,Production Web Server 02,SERVER,srv-web-02,10.20.1.12,Ubuntu Server 24.04,PRODUCTION,HIGH,IT,ACTIVE,Secondary production web server.,USR-002
AST-003,Production API Server 01,SERVER,srv-api-01,10.20.1.21,Ubuntu Server 24.04,PRODUCTION,CRITICAL,Engineering,ACTIVE,Hosts the main production API.,USR-003
AST-004,Production API Server 02,SERVER,srv-api-02,10.20.1.22,Ubuntu Server 24.04,PRODUCTION,HIGH,Engineering,ACTIVE,Secondary API server for production traffic.,USR-004
AST-005,Authentication Server,SERVER,srv-auth-01,10.20.2.10,Windows Server 2022,PRODUCTION,CRITICAL,IT,ACTIVE,Central authentication services server.,USR-005
AST-006,File Server,SERVER,srv-file-01,10.20.2.20,Windows Server 2022,PRODUCTION,HIGH,Operations,ACTIVE,Corporate file storage server.,USR-006
AST-007,Backup Server,SERVER,srv-backup-01,10.20.2.30,Debian 12,PRODUCTION,CRITICAL,IT,ACTIVE,Centralized backup management server.,USR-007
AST-008,Monitoring Server,SERVER,srv-mon-01,10.20.2.40,Rocky Linux 9,PRODUCTION,HIGH,Security,ACTIVE,Infrastructure monitoring and alerting server.,USR-008
AST-009,SIEM Server,SERVER,srv-siem-01,10.20.2.50,RHEL 9,PRODUCTION,CRITICAL,Security,ACTIVE,Security event collection and correlation server.,USR-009
AST-010,Log Server,SERVER,srv-log-01,10.20.2.60,Ubuntu Server 24.04,PRODUCTION,HIGH,Security,ACTIVE,Centralized application and infrastructure logs.,USR-001
AST-011,Mail Server,SERVER,srv-mail-01,10.20.3.10,Ubuntu Server 24.04,PRODUCTION,HIGH,Operations,ACTIVE,Internal mail relay and notification server.,USR-002
AST-012,DNS Server 01,SERVER,srv-dns-01,10.20.3.20,Debian 12,PRODUCTION,CRITICAL,IT,ACTIVE,Primary internal DNS server.,USR-003
AST-013,DNS Server 02,SERVER,srv-dns-02,10.20.3.21,Debian 12,PRODUCTION,HIGH,IT,ACTIVE,Secondary internal DNS server.,USR-004
AST-014,Dev Build Server,SERVER,srv-build-01,10.30.1.10,Ubuntu Server 24.04,DEVELOPMENT,MEDIUM,Engineering,ACTIVE,Build and continuous integration workloads.,USR-005
AST-015,Dev API Server,SERVER,srv-dev-api-01,10.30.1.20,Ubuntu Server 24.04,DEVELOPMENT,MEDIUM,Engineering,ACTIVE,Development API environment.,USR-006
AST-016,Dev Web Server,SERVER,srv-dev-web-01,10.30.1.30,Ubuntu Server 24.04,DEVELOPMENT,LOW,Engineering,ACTIVE,Development web environment.,USR-007
AST-017,QA Server 01,SERVER,srv-qa-01,10.25.1.10,Ubuntu Server 24.04,PREPRODUCTION,MEDIUM,QA,ACTIVE,Quality assurance application server.,USR-008
AST-018,QA Server 02,SERVER,srv-qa-02,10.25.1.11,Ubuntu Server 24.04,PREPRODUCTION,MEDIUM,QA,ACTIVE,Secondary quality assurance server.,USR-009
AST-019,Staging Web Server,SERVER,srv-stage-web-01,10.25.1.20,Ubuntu Server 24.04,PREPRODUCTION,HIGH,Engineering,ACTIVE,Staging environment for web releases.,USR-001
AST-020,Staging API Server,SERVER,srv-stage-api-01,10.25.1.21,Ubuntu Server 24.04,PREPRODUCTION,HIGH,Engineering,ACTIVE,Staging environment for API releases.,USR-002
AST-021,HR Application Server,SERVER,srv-hr-01,10.20.4.10,Windows Server 2022,PRODUCTION,HIGH,HR,ACTIVE,Hosts internal human resources applications.,USR-003
AST-022,Finance Application Server,SERVER,srv-fin-01,10.20.4.20,Windows Server 2022,PRODUCTION,CRITICAL,Finance,ACTIVE,Hosts internal finance applications.,USR-004
AST-023,ERP Server,SERVER,srv-erp-01,10.20.4.30,RHEL 9,PRODUCTION,CRITICAL,Operations,ACTIVE,Enterprise resource planning server.,USR-005
AST-024,Print Server,SERVER,srv-print-01,10.20.4.40,Windows Server 2022,PRODUCTION,LOW,Operations,INACTIVE,Legacy centralized print server.,USR-006
AST-025,Legacy Web Server,SERVER,srv-legacy-web-01,10.20.5.10,Ubuntu Server 20.04,PRODUCTION,HIGH,IT,DECOMMISSIONED,Retired legacy web server retained for historical records.,USR-007
AST-026,Patch Management Server,SERVER,srv-patch-01,10.20.5.20,Windows Server 2022,PRODUCTION,HIGH,Security,ACTIVE,Centralized operating system patch management server.,USR-008
AST-027,Automation Server,SERVER,srv-auto-01,10.20.5.30,Rocky Linux 9,PRODUCTION,MEDIUM,IT,ACTIVE,Runs infrastructure automation tasks.,USR-009
AST-028,Reporting Server,SERVER,srv-report-01,10.20.5.40,Windows Server 2022,PRODUCTION,MEDIUM,Finance,ACTIVE,Generates corporate reporting workloads.,USR-001
AST-029,Training Server,SERVER,srv-training-01,10.30.2.10,Ubuntu Server 24.04,DEVELOPMENT,LOW,Training,INACTIVE,Internal technical training environment.,USR-002
AST-030,Security Lab Server,SERVER,srv-seclab-01,10.30.2.20,Kali Linux,DEVELOPMENT,MEDIUM,Security,ACTIVE,Controlled security testing laboratory server.,USR-003
AST-031,Engineering Workstation 01,WORKSTATION,ws-engineering-01,10.40.1.10,Windows 11 Pro,PRODUCTION,MEDIUM,Engineering,ACTIVE,Corporate workstation assigned to the Engineering department.,USR-004
AST-032,Engineering Workstation 02,WORKSTATION,ws-engineering-02,10.40.1.11,Windows 11 Pro,PRODUCTION,MEDIUM,Engineering,ACTIVE,Corporate workstation assigned to the Engineering department.,USR-005
AST-033,Engineering Workstation 03,WORKSTATION,ws-engineering-03,10.40.1.12,Windows 11 Pro,PRODUCTION,MEDIUM,Engineering,ACTIVE,Corporate workstation assigned to the Engineering department.,USR-006
AST-034,Engineering Workstation 04,WORKSTATION,ws-engineering-04,10.40.1.13,Windows 11 Pro,PRODUCTION,MEDIUM,Engineering,ACTIVE,Corporate workstation assigned to the Engineering department.,USR-007
AST-035,Engineering Workstation 05,WORKSTATION,ws-engineering-05,10.40.1.14,Windows 11 Pro,PRODUCTION,MEDIUM,Engineering,ACTIVE,Corporate workstation assigned to the Engineering department.,USR-008
